event_date,title,summary,category,source_url
2011-03-11,Tohoku earthquake and tsunami,Earthquake and tsunami hit Japan,history,https://en.wikipedia.org/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami
2020-03-11,COVID-19 pandemic declared,WHO declares global pandemic,history,https://en.wikipedia.org/wiki/COVID-19_pandemic
1997-07-04,Pathfinder lands on Mars,Mars Pathfinder successfully lands,science,https://en.wikipedia.org/wiki/Mars_Pathfinder
1969-10-29,First ARPANET message,First message sent between UCLA and SRI,tech,https://en.wikipedia.org/wiki/ARPANET#Initial_creation
1991-08-06,First website public,Tim Berners Lee posts on Usenet about the web,tech,https://en.wikipedia.org/wiki/History_of_the_World_Wide_Web
1981-08-12,IBM PC introduced,IBM announces the IBM Personal Computer,tech,https://en.wikipedia.org/wiki/IBM_Personal_Computer
2001-01-15,Wikipedia launched,Free collaborative encyclopedia is launched,tech,https://en.wikipedia.org/wiki/Wikipedia
2000-10-31,ISS first crew arrives,Expedition 1 arrives to the space station,science,https://en.wikipedia.org/wiki/Expedition_1
1969-08-15,Woodstock begins,Music festival opens in Bethel New York,culture,https://en.wikipedia.org/wiki/Woodstock
1995-07-16,Amazon website launches,Amazon goes live selling books online,tech,https://en.wikipedia.org/wiki/Amazon_(company)
1995-09-03,eBay founded,AuctionWeb begins in San Jose California,tech,https://en.wikipedia.org/wiki/EBay
2010-01-27,iPad announced,Apple announces tablet device iPad,tech,https://en.wikipedia.org/wiki/IPad_(1st_generation)
1986-04-26,Chernobyl disaster,Nuclear accident at Chernobyl in Ukraine,history,https://en.wikipedia.org/wiki/Chernobyl_disaster
1963-06-16,First woman in space,Valentina Tereshkova flies Vostok 6,history,https://en.wikipedia.org/wiki/Valentina_Tereshkova
1971-12-02,Mariner 9 images Mars,First spacecraft to orbit another planet,science,https://en.wikipedia.org/wiki/Mariner_9
1973-03-29,US troops leave Vietnam,US withdraws combat troops from Vietnam,history,https://en.wikipedia.org/wiki/Vietnam_War#U.S._withdrawal
1972-11-07,Pong released,Atari releases arcade game Pong,tech,https://en.wikipedia.org/wiki/Pong
1960-05-09,US FDA approves first oral contraceptive,Pill Enovid approved in the US,history,https://en.wikipedia.org/wiki/Combined_oral_contraceptive_pill#History
1965-03-18,First spacewalk by Alexei Leonov,Leonov performs EVA from Voskhod 2,science,https://en.wikipedia.org/wiki/Alexei_Leonov
1971-04-14,Human powered flight across English Channel,Bryan Allen pedals Gossamer Albatross,science,https://en.wikipedia.org/wiki/Gossamer_Albatross
1977-08-16,Elvis Presley dies,Cultural icon dies in Memphis,culture,https://en.wikipedia.org/wiki/Elvis_Presley
1967-01-27,Apollo 1 tragedy,Fire during test kills three astronauts,history,https://en.wikipedia.org/wiki/Apollo_1
1968-04-04,Martin Luther King Jr assassinated,Civil rights leader assassinated in Memphis,history,https://en.wikipedia.org/wiki/Assassination_of_Martin_Luther_King_Jr.
1981-01-20,First time hostages released on US inauguration,Hostages released as Reagan sworn in,history,https://en.wikipedia.org/wiki/Iran_hostage_crisis#Release
1996-07-05,Dolly the sheep born,First cloned mammal from adult cell,science,https://en.wikipedia.org/wiki/Dolly_(sheep)
1984-06-22,PG-13 rating introduced,MPAA adds PG-13 rating in US,culture,https://en.wikipedia.org/wiki/Motion_Picture_Association_film_rating_system
1989-04-15,Tiananmen protests begin,Student led protests start in Beijing,history,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre
1997-09-11,Google.com registered,Domain registered for Google,tech,https://en.wikipedia.org/wiki/Google#History
2003-04-14,Human genome project completed,Project declares completion of sequencing,science,https://en.wikipedia.org/wiki/Human_Genome_Project
1990-12-20,First website goes live at CERN,Website info published at CERN,tech,https://en.wikipedia.org/wiki/History_of_the_World_Wide_Web
1971-08-30,Apollo 15 lunar rover used,First use of lunar rover on the Moon,science,https://en.wikipedia.org/wiki/Apollo_15
1976-04-01,Apple Computer founded,Company founded by Jobs Wozniak and Wayne,tech,https://en.wikipedia.org/wiki/Apple_Inc.
1984-10-31,STS-51-A deploys satellites,Shuttle mission deploys two communications satellites,science,https://en.wikipedia.org/wiki/STS-51-A
1980-05-18,Mount St Helens erupts,Major volcanic eruption in Washington,science,https://en.wikipedia.org/wiki/1980_eruption_of_Mount_St._Helens
1991-12-26,Soviet Union dissolved,USSR formally ceases to exist,history,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
1994-04-06,Rwandan genocide begins,Mass violence erupts after plane crash,history,https://en.wikipedia.org/wiki/Rwandan_genocide
1969-01-30,Beatles rooftop concert,Final public performance by the Beatles,culture,https://en.wikipedia.org/wiki/The_Beatles%27_rooftop_concert
1983-06-18,Sally Ride flies,First American woman in space,history,https://en.wikipedia.org/wiki/Sally_Ride
1972-02-21,Nixon visits China,Historic trip opens relations,history,https://en.wikipedia.org/wiki/1972_Nixon_visit_to_China
1989-03-12,Tim Berners Lee proposes the Web,Information Management memo sparks the Web,tech,https://en.wikipedia.org/wiki/Tim_Berners-Lee
1987-09-13,Montreal Protocol signed,Global agreement to protect ozone layer,history,https://en.wikipedia.org/wiki/Montreal_Protocol
2006-03-21,Twitter founded,Social platform launched by Jack Dorsey,tech,https://en.wikipedia.org/wiki/Twitter
1982-03-23,CD player introduced by Sony,Compact Disc player arrives to market,tech,https://en.wikipedia.org/wiki/Compact_disc#History
1965-08-06,Voting Rights Act signed,US law prohibits racial discrimination in voting,history,https://en.wikipedia.org/wiki/Voting_Rights_Act_of_1965
1986-02-19,Mir space station launched,Long duration Soviet Russian station launched,science,https://en.wikipedia.org/wiki/Mir
2015-09-28,Water on Mars evidence,NASA confirms liquid water flowing on Mars,science,https://en.wikipedia.org/wiki/Life_on_Mars#Water_on_Mars
1994-10-13,World Wide Web Consortium founded,W3C created to standardize web technologies,tech,https://en.wikipedia.org/wiki/World_Wide_Web_Consortium
1980-08-31,Polish Solidarity founded,Independent trade union begins in Gdansk,history,https://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union)
1979-03-28,Three Mile Island accident,Nuclear incident in Pennsylvania,history,https://en.wikipedia.org/wiki/Three_Mile_Island_accident
1976-07-17,Montreal Olympics open,Summer Olympics begin in Canada,culture,https://en.wikipedia.org/wiki/1976_Summer_Olympics
1998-02-10,Deep Space 1 launched,NASA tech demo mission launches,science,https://en.wikipedia.org/wiki/Deep_Space_1
2005-01-21,JetBlue lands with stuck nose gear,Pilot lands safely with stuck nose wheel,history,https://en.wikipedia.org/wiki/JetBlue_Flight_292
2004-06-21,SpaceShipOne flies to space,First private human spaceflight,science,https://en.wikipedia.org/wiki/SpaceShipOne
1998-10-29,John Glenn returns to space,Oldest person to fly in space on STS-95,science,https://en.wikipedia.org/wiki/STS-95
1971-06-30,US ratifies 26th Amendment,Lowering voting age to 18,history,https://en.wikipedia.org/wiki/Twenty-sixth_Amendment_to_the_United_States_Constitution
1993-11-12,NASA releases first image of a planet around another star,Discovery around PSR B1257+12,science,https://en.wikipedia.org/wiki/PSR_B1257+12
1965-07-14,Mariner 4 Mars flyby,First close up images of Mars returned,science,https://en.wikipedia.org/wiki/Mariner_4
1971-11-15,Intel 4004 released,Worlds first commercially available microprocessor,tech,https://en.wikipedia.org/wiki/Intel_4004
1990-05-22,Windows 3.0 released,Microsoft releases Windows 3.0,tech,https://en.wikipedia.org/wiki/Windows_3.0
2001-10-23,iPod introduced,Apple introduces the iPod music player,tech,https://en.wikipedia.org/wiki/IPod
2012-08-06,Curiosity rover lands on Mars,NASA rover lands in Gale Crater on Mars,science,https://en.wikipedia.org/wiki/Curiosity_(rover)
2025-11-17,TaF Timeline tool created,Initial release of the That's a Fact Timeline API,current,https://github.com/ENM032/taf_timeline
